x,y
987,30
850,34
1001,39
1018,37
1037,32
972,33
969,40
874,42
833,51
956,50
1029,49
982,53
989,51
856,61
974,62
834,65
936,67
848,68
860,79
837,85
773,93
828,96
921,97
846,100
873,99
762,108
790,107
927,109
944,114
914,112
833,116
822,123
848,122
871,122
886,125
765,126
899,124
869,135
924,136
856,139
765,141
780,142
725,144
711,150
832,156
854,155
826,162
773,174
903,180
750,179
763,180
688,181
816,185
698,184
806,183
743,190
921,188
719,194
771,193
698,195
758,200
689,203
889,203
915,209
764,212
787,217
904,220
859,224
875,222
684,226
775,228
822,227
813,234
872,248
820,252
664,252
806,252
799,256
749,258
655,262
820,263
716,268
845,267
836,271
785,271
774,274
830,280
761,280
861,285
752,282
786,291
699,290
844,293
883,294
648,296
803,297
665,299
681,308
830,304
626,310
639,309
842,329
638,324
827,323
618,328
683,324
802,326
765,326
710,329
737,332
816,335
760,338
704,341
658,339
794,341
828,342
656,346
798,350
701,351
714,351
822,352
771,358
835,354
618,361
740,358
711,359
696,359
731,360
798,360
636,364
676,371
637,371
688,371
771,373
823,375
852,373
727,376
602,380
701,379
736,388
868,390
685,399
717,391
834,397
615,396
805,397
636,405
663,411
748,410
716,407
738,409
841,407
602,410
647,408
857,411
702,412
825,412
815,414
725,417
735,419
680,427
842,419
698,423
733,430
745,432
761,431
320,438
755,440
787,442
730,439
701,447
799,444
844,445
746,450
824,456
601,459
778,458
663,465
837,460
800,470
682,467
732,465
716,468
783,469
766,475
742,479
883,476
557,478
825,477
310,480
673,489
790,479
688,482
808,481
850,485
774,497
731,495
614,498
788,506
573,506
600,504
680,501
813,506
827,505
652,514
619,518
668,517
589,528
719,522
675,528
657,530
621,531
701,536
736,536
602,537
566,542
851,541
660,544
724,547
751,553
637,553
602,556
707,557
828,556
844,556
545,561
655,558
621,573
663,571
716,568
740,574
780,573
682,580
700,576
797,574
645,578
526,584
835,593
861,583
722,591
562,595
743,597
773,597
669,600
823,599
600,603
884,613
694,609
864,609
643,611
844,614
662,615
824,617
634,621
811,617
688,619
536,631
868,631
633,639
735,639
610,638
840,640
851,639
797,645
614,647
644,645
655,646
622,648
668,649
771,648
86,659
736,655
801,656
821,654
635,657
899,657
569,659
714,663
870,665
748,666
848,667
776,668
812,677
833,668
761,669
526,673
611,672
707,676
883,674
476,679
594,679
625,680
773,681
540,684
744,681
860,681
577,684
648,682
524,684
732,686
510,699
557,695
882,692
792,695
855,694
757,697
631,701
650,705
686,704
772,703
672,706
705,708
789,708
594,709
85,724
815,713
511,716
830,717
457,720
717,720
616,723
536,726
558,723
814,726
901,726
781,728
854,728
892,732
915,732
830,737
838,740
638,745
892,742
684,746
807,746
563,748
875,753
706,757
649,760
922,762
559,763
772,765
603,768
851,770
489,769
586,769
626,774
518,774
566,775
863,776
874,776
735,782
843,782
510,782
706,784
744,784
766,785
507,793
537,794
757,792
857,793
614,798
745,797
715,808
595,803
641,804
578,808
760,807
836,805
518,810
733,808
660,812
497,813
602,820
773,818
668,821
848,822
560,826
793,825
929,825
739,825
810,830
524,834
500,838
728,840
904,839
758,845
772,842
819,843
511,844
742,851
708,851
470,852
319,858
554,854
755,853
536,856
725,859
668,859
792,857
339,863
596,862
711,861
788,864
650,868
932,877
526,869
838,868
635,873
750,872
740,874
473,876
770,877
692,878
493,880
579,882
603,886
737,883
796,885
357,893
551,890
827,890
853,891
584,896
753,897
447,900
645,904
766,897
787,898
837,898
864,898
877,903
896,905
564,905
620,902
673,906
733,907
765,908
478,917
609,907
666,907
849,908
516,916
937,912
689,914
642,915
572,918
803,920
498,920
544,923
590,923
612,923
666,924
736,922
940,926
522,928
651,928
703,930
754,930
765,933
886,931
897,933
623,935
647,937
829,944
868,937
718,936
814,938
610,939
681,941
926,943
567,941
732,944
717,949
785,955
888,945
529,958
794,947
1177,946
598,948
635,950
477,951
589,953
663,951
904,952
622,955
547,963
610,957
718,961
495,965
560,964
682,963
614,965
891,968
854,970
934,972
712,977
767,976
567,979
599,983
609,976
502,980
537,980
647,979
838,985
551,982
519,984
914,991
726,992
862,992
576,993
903,992
653,1005
886,996
506,997
826,1001
635,1002
860,1002
485,1003
563,1011
769,1006
507,1014
472,1012
841,1010
767,1024
541,1016
561,1018
868,1028
883,1021
648,1023
915,1023
526,1033
946,1032
474,1039
584,1040
849,1038
1530,1041
527,1044
599,1047
832,1052
911,1044
508,1046
872,1048
918,1051
746,1054
851,1054
1536,1052
582,1056
706,1058
720,1054
866,1056
941,1056
536,1062
846,1071
570,1068
761,1072
882,1071
755,1076
641,1078
707,1075
833,1077
521,1078
797,1079
863,1077
668,1080
659,1082
899,1084
487,1088
533,1090
835,1088
507,1099
734,1093
842,1101
908,1097
850,1099
925,1100
543,1099
869,1102
950,1100
987,1103
944,1104
958,1105
740,1106
910,1110
927,1112
738,1117
986,1117
566,1119
635,1121
648,1118
724,1118
971,1121
534,1121
589,1125
944,1126
905,1128
926,1128
518,1133
571,1129
488,1134
824,1140
847,1139
922,1143
530,1146
812,1150
846,1142
700,1151
577,1161
745,1164
1008,1160
704,1159
552,1163
618,1168
636,1163
828,1161
487,1170
952,1165
1016,1167
609,1169
798,1172
919,1172
866,1176
927,1173
592,1177
547,1182
795,1181
825,1181
965,1182
845,1188
943,1186
520,1191
675,1192
646,1198
964,1198
989,1204
941,1203
816,1203
825,1201
599,1210
755,1210
926,1212
500,1215
516,1214
903,1216
947,1214
542,1215
852,1217
585,1218
612,1225
807,1219
1634,1218
651,1221
490,1223
740,1245
669,1225
921,1227
550,1235
1018,1232
504,1232
882,1233
682,1237
804,1240
946,1242
891,1238
1824,1243
532,1244
1025,1246
871,1247
475,1249
703,1252
1852,1249
933,1251
504,1254
623,1252
799,1253
944,1256
543,1263
647,1260
882,1259
833,1264
760,1264
85,1272
682,1267
866,1264
492,1266
929,1267
11,1275
506,1272
570,1276
726,1272
782,1273
798,1272
911,1271
532,1275
599,1274
662,1274
816,1274
902,1275
1702,1275
