image,head_points,width,height
scene_01.png,715,1882,2272
scene_02.png,572,2374,1792
scene_03.png,1631,2736,1536
scene_04.png,1123,1792,2374
scene_05.png,2866,3146,1312
scene_06.png,450,3154,1312
scene_07.png,423,1536,2714
scene_08.png,463,2730,1568
scene_09.png,5141,3748,1120
scene_10.png,456,2808,1536
scene_11.png,3711,2938,1440
scene_12.png,439,3176,1312
scene_13.png,1390,3036,1408
scene_14.png,912,3302,1248
scene_15.png,412,3364,1248
scene_16.png,4258,3070,1376
scene_17.png,462,3250,1280
scene_18.png,565,3336,1280
scene_19.png,970,2624,1630
scene_20.png,431,3390,1248
scene_21.png,991,3504,1184
