x,y
1136,537
1119,543
1132,551
1110,552
1036,556
1026,559
1086,559
1225,562
1115,561
1047,562
1129,566
1075,573
1242,574
1105,581
1121,585
1294,584
1278,592
1271,610
1235,606
1289,610
1281,621
1174,632
1259,634
1294,632
1148,641
1296,648
1280,658
1204,665
1296,664
1147,668
1190,666
1277,676
1289,676
1128,679
1203,678
1170,686
1274,692
1213,706
1168,703
1175,712
1085,718
1202,734
1210,727
1135,747
1149,747
1127,754
1098,761
1151,769
1116,764
982,767
997,768
1131,770
1051,770
1101,780
1069,777
1119,783
966,787
1130,788
1147,792
1113,798
954,800
1078,807
1132,809
1023,814
1114,817
1025,827
1046,826
1130,830
1118,837
994,842
931,839
971,841
1014,841
1036,845
1054,842
919,845
956,849
1098,848
1123,852
973,855
1111,855
1032,857
1093,859
1008,866
957,865
994,859
1046,864
992,868
971,878
908,878
942,877
1112,877
921,878
1025,879
994,888
947,897
1014,894
914,898
980,894
1028,895
1084,896
1121,896
1044,902
928,901
993,903
1072,899
1069,911
902,907
980,909
1094,909
1027,914
1119,909
925,914
1006,920
1050,918
906,919
955,919
972,917
1120,920
931,924
954,930
1041,929
913,930
894,933
1027,938
958,941
936,942
1012,945
1048,950
892,960
936,964
1008,963
1031,965
990,964
1049,973
1106,970
927,977
1073,974
906,982
951,976
1013,976
1023,976
880,980
1112,983
1095,984
1025,992
1048,995
1073,995
891,995
952,994
1106,997
903,1001
919,1003
938,1005
989,1005
879,1008
1012,1010
1026,1015
1086,1010
901,1022
1102,1013
968,1015
1065,1015
988,1017
954,1019
877,1027
919,1020
1053,1020
858,1022
1101,1025
1042,1024
1087,1026
1117,1026
1065,1030
993,1032
1007,1032
1076,1032
918,1033
972,1033
1029,1041
852,1040
1052,1038
865,1043
989,1046
929,1049
1102,1052
1013,1057
1029,1053
844,1055
875,1056
895,1064
910,1059
1066,1060
1125,1060
872,1063
1052,1063
1031,1065
1072,1072
1116,1073
1017,1074
1052,1079
1034,1082
807,1081
906,1084
830,1087
1008,1090
1107,1083
947,1091
1056,1091
1022,1096
889,1097
969,1094
1117,1100
1137,1094
825,1102
1044,1098
1099,1098
841,1102
855,1102
916,1106
1017,1107
864,1108
1003,1110
1080,1116
817,1114
944,1116
983,1117
877,1116
899,1116
857,1127
1044,1118
838,1120
1122,1122
1026,1126
889,1130
912,1128
928,1130
1103,1129
822,1132
842,1136
946,1133
1054,1133
1068,1137
1008,1135
989,1141
811,1142
